0.0  	        0
91.38   	2
299.43  	4
614.37  	6
860.25  	2
946.40  	3
1024.59 	8
1058.48 	4
1197.46 	5
1246.04 	0
1314.56 	2
1358.68 	6
1386.73 	1
1416.56 	0
1433.97 	3
1469.7  	4
1483.70 	2
1494.8  	0
1507.6  	0
1518.06 	10
1545.06 	7
1555.3  	5
1568.67 	3
1577.83  	1
1610.3  	4
1631.5  	0
1640.2  	0
1664.18  	5
1683.39 	5
1702.1  	0
1702.20  	0
1706.6  	6
1715.5  	0
1726.1          0
1741.6  	0
1744.48  	6
1744.84  	8
1763.8  	7
1765.86 	0
1788.35 	2
1798.4  	5
1806    	0
1813.9   	6
1833.41  	2
1841.7  	0
1845.49 	7
1861.5  	1
1875.2  	1
1911.26 	2
1929    	0
1953.92 	2
1960.5  	0
1964.29  	8
1969.6  	2
1977.12  	9
1984.98 	7
2002.6  	2
2005.4  	8
2018.0  	0
2022.50  	0
2025.77  	2
2032.1   	0
2035.4   	1
2046    	0
2054.6   	9
2068.9  	8
2069.4   	0
2082.1   	0
2082.79 	12
2090.96 	8
2093.6  	0
2108.54 	9
2144    	0
2151    	0
2163.5  	8
2168.2  	0
2173.06  	0
2184.26 	10
2240.2   	0
2254.64 	0
2261.23 	10
2278.33 	2
2279    	0
2337	        0
2337.3  	9
2356    	0
2363.20  	9
2370.5   	0
2404    	1
2408.2  	11
2416    	1
2421.09 	10
2444.51 	2
2448.1  	0
2462.7  	10
2470    	0
2479.44  	11
2483    	0
2519.2  	12
2541.0  	0
2577    	1
2583.3          10
2592    	0
2631.19 	12
2640    	1
2702.56 	14
2733.3  	12
2747    	1
2762    	1
2800.41 	12
2815.2  	13
2822.1  	11
2823.3  	0
2874.8  	14
2933     	1
2966     	1
3018    	1
3027.2          13
3028.8	0
3066.6	14
3078.9	12
3133  	1
3179 	1
3220  	1
3244.3	14
3263.1	16
3267.0	14
3281.0       15
3302.9	 5
3351.8       13
3376.1	12
3408.1	0
3411.2	16
3458  	1
3518.6	15
3534.60	2
3541 	1
3544.1  13
3551 	1
3559.6  16
3602 	1
3629.65	2
3733.1	14
3752 	1
3760.0  16
3768.20	1
3768.6	18
3800.7	16
3804.9	17
3941.2	15
3944 	1
4017.8	17
4105.6	18
4121.2  18
4167.9	16
4344.4	18
4345.7	20
4364.3  18
4384.9	19
4411.6	17
4590.0	19
4671.7	18
4702.0	20
4868.4  20
4946.7	19
4987.3	20
5000.1	22
5018.2	21
5230.5	21
5236.6	20
5349.9	22
5539.9	21
5651.5	22
5678 	22
5704.1	23
5729.1  24
5856.2	22
6052.9 	24
6185.0	23
6442.1	25
6525.2	24
6529.1	26
6814.9	26
6876.9	25
7238.1	27
7239.5	26
7399.1	28
7613.1  27
7640.9	28
7997.8	28
8095.1	29
8338.1	30
8395.1	29
8533.9	30
8802.4	30
9016.1	31
9224.1	31
9342.1	32
9491.9	32
9657.4	32
10001.1	33
10410.1	34
10515  	34
11049 	35
11549 	36
